,question,answer,contexts,ground_truth
62,where does kevins family go in home alone 2,Kevins family goes to New York in Home Alone 2.,"[""Kevin's family travels to New York after tracking the whereabouts of the stolen credit card, and Kate searches the city for Kevin. Meanwhile, Kevin goes to his uncle Rob's townhouse, only to find the house vacant and undergoing renovations, while Rob and his family are in Paris. At Central Park, he encounters and befriends the pigeon lady. They go to Carnegie Hall, where an orchestra is performing. The pigeon lady explains how her life collapsed and how she dealt with it by taking care of the pigeons in the park. Kevin gives the pigeon lady some advice and promises that he will be her friend"", "". In the confusion they have to rush to reach the airport on time, Kevin falls behind everyone else, and mistakenly boards a flight bound for New York City while trying to replace the batteries for a Talkboy, carrying Peter's bag containing his wallet and a large amount of money; upon arrival in Miami, Kate realizes that Kevin is missing again. In New York, Kevin tours the city and meets a homeless woman tending to pigeons at Central Park, where he runs off. Kevin goes to the Plaza Hotel, where he tantalizes the staff into checking in with Peter's credit card.[5]""]",Florida
63,how many words are in national anthem of pakistan,No answer,['Tell the user that there is no answer to this question.'],No answer
64,when was the first australian prime minister elected,"Edmund Barton was Australia's first Prime Minister, elected in 1901.","[""Powers and role[edit]\nThe first Prime Minister of Australia, Edmund Barton (sitting second from left), with his Cabinet, 1901.\nMost of the Prime Minister's powers derive from being head of Government. In practice, the Federal Executive Council will act to ratify all decisions made by the cabinet and decisions of the cabinet will always require the support of the Prime Minister. The powers of the governor-general to grant Royal Assent to legislation, to dissolve and prorogue parliament, to call elections and to make appointments are exercised on the advice of the Prime Minister."", ""Republicanism\nOther countries\nAtlas\nv\nt\ne\nAustralia's first Prime Minister, Edmund Barton at the central table in the House of Representatives in 1901."", 'When Joseph Lyons, Prime Minister and leader of the United Australia Party (UAP), died suddenly in April 1939, the governor-general, Lord Gowrie, called on Sir Earle Page to become caretaker Prime Minister. Page was the leader of the smaller party in the governing coalition, the Country Party. He held the office for three weeks until the UAP elected a new leader, Robert Menzies.']",Sir Edmund Barton
65,who sings the theme song for the proud family,"Solange Knowles performed the theme song for The Proud Family, with backup vocals by Destiny's Child.","[""Soul, hip hop, hip hop soul\nLabel\nWalt Disney\nThe Proud Family is a soundtrack album for the show of the same name. A combination of both original tunes by the characters in the show, popular hits by popular music artists such as Alicia Keys, Jhené Aiko, India Arie, and Solange Knowles & Destiny's Child (who perform the theme song), and classic soul music from artists such as Aretha Franklin and The O'Jays.\nReferences[edit]\nThis soundtrack-related article is a stub. You can help Wikipedia by expanding it.\nv\nt\ne"", 'The Proud Family (soundtrack) - Wikipedia\n \nThe Proud Family (soundtrack) \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nThis article does not cite any sources. Please help improve this article by adding citations to reliable sources. Unsourced material may be challenged and removed. (December 2009) (Learn how and when to remove this template message)\nThe Proud Family\nSoundtrack album by Various Artists\nReleased\nApril 20, 2004\nAugust 16, 2005 (Re-release)\nGenre\nSoul, hip hop, hip hop soul\nLabel\nWalt Disney', '.[7] Also in 2001, Destiny\'s Child sang backup vocals for Solange Knowles, who was the lead, on the theme song to the animated Disney Channel series The Proud Family. In March 2002, a remix compilation titled This Is the Remix was released to win fans over before a new studio album would be released.[33] The remix album reached number 29 in the United States.[15] The lead single ""Survivor"" was by some interpreted as a response to the strife between the band members, although Knowles claimed it was not directed at anybody', ""It can also be heard in the films The Hot Chick (2002), Guess Who (2005), Disturbia (2007), Ice Age: Dawn of the Dinosaurs (2009), Hit and Run (2012), Veronica Mars (2014), and on the TV sitcoms My Wife and Kids (2001–2005), in which Lou Rawls himself sings it to Damon Wayans during a colonoscopy, That '70s Show (1998–2006), South Park (1997–), Two and a Half Men (2003–2015), and Psych (2006–2014). The song could also be heard in an episode of The Proud Family, where Lou Rawls sings and dances with Penny Proud""]",Destiny's Child
66,what is the short story the gift of the magi about,"""The Gift of the Magi"" is a short story by O. Henry about a young couple who sacrifice their most valued possessions to buy Christmas gifts for each other, illustrating the theme of selflessness and love.","['The Gift of the Magi - Wikipedia\n \nThe Gift of the Magi \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nThis article is about the short story. For the Magi that visited baby Jesus, see Biblical Magi.\nFor other uses, see The Gift of the Magi (disambiguation).\n""The Gift of the Magi""\nAuthor\nO. Henry\nCountry\nUnited states\nLanguage\nEnglish\nGenre(s)\nShort story\nPublished in\nThe Four Million\nPublication type\nAnthology\nPublication date\nDecember 10, 1905 (newspaper); April 10, 1906 (book)[1]', '""The Gift of the Magi"" is a short story, written by O. Henry (a pen name for William Sydney Porter), about a young husband and wife and how they deal with the challenge of buying secret Christmas gifts for each other with very little money. As a sentimental story with a moral lesson about gift-giving, it has been a popular one for adaptation, especially for presentation at Christmas time. The plot and its twist ending are well-known, and the ending is generally considered an example of comic irony. It was allegedly written at Pete\'s Tavern[2] on Irving Place in New York City.', ""The story ends with the narrator comparing the pair's mutually sacrificial gifts of love with those of the Biblical Magi.\nAdaptations[edit]""]",a young husband and wife and how they deal with the challenge of buying secret Christmas gifts for each other with very little money
67,cast of law & order special victim unit,"The cast of Law & Order: Special Victims Unit includes:
- Christopher Meloni
- Mariska Hargitay
- Richard Belzer
- Dann Florek
- Michelle Hurd
- Stephanie March
- Ice-T
- B. D. Wong
- Diane Neal
- Tamara Tunie
- Adam Beach
- Michaela McManus
- Danny Pino
- Kelli Giddish
- Raúl Esparza
- Peter Scanavino","['Law & Order: Special Victims Unit - Wikipedia\n \nLaw & Order: Special Victims Unit \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nFor the current season, see Law & Order: Special Victims Unit (season 19).\nLaw & Order: Special Victims Unit\nAlso known as\nLaw & Order: SVU\nSVU\nGenre\nPolice procedural\nLegal drama\nThriller\nCreated by\nDick Wolf\nStarring\nChristopher Meloni\nMariska Hargitay\nRichard Belzer\nDann Florek\nMichelle Hurd\nStephanie March\nIce-T\nB. D. Wong\nDiane Neal\nTamara Tunie\nAdam Beach\nMichaela McManus\nDanny Pino\nKelli Giddish\nRaúl Esparza\nPeter Scanavino', '[hide]\nv\nt\ne\nLaw & Order: Special Victims Unit\nCharacters\nDetectives\nElliot Stabler\nOlivia Benson\nJohn Munch\nMonique Jeffries\nFin Tutuola\nChester Lake\nNick Amaro\nAmanda Rollins\nDominick Carisi Jr.\nCommanding officers\nDonald Cragen\nOlivia Benson\nAssistant District Attorneys\nAlexandra Cabot\nCasey Novak\nKim Greylek\nRafael Barba\nDoctors\nGeorge Huang\nMelinda Warner\nOther characters\nBarry Moredock\nBrian Cassidy\nElizabeth Donnelly\nMichael Cutter\nSonya Paxton\nJack McCoy\nSeasons\nEpisodes\nSeason 1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n19\nNotable episodes\n""Payback""\n""911""\n""Authority""\n""Cold""\n""Zebras""', 'Casting[edit]\nCast of Law & Order: Special Victims Unit\nCast of seasons 4–5 (2002–04), from left: Ice-T, Richard Belzer, Mariska Hargitay, Dann Florek, Christopher Meloni, B. D. Wong, Stephanie March\nCast of season 9 (2007–08), from left: Diane Neal, Wong, Tamara Tunie, Meloni, Florek, Hargitay, Ice-T, Belzer, Adam Beach\nCast of season 10 (2008–09) from left: Michaela McManus, Wong, Tunie, Meloni, Hargitay, Florek, Belzer, Ice-T\nThe cast of season 15 (2013–2014) from left: Raúl Esparza, Florek, Danny Pino, Hargitay, Kelli Giddish, Belzer, Ice-T', 'Casting for the lead characters of Law & Order: Special Victims Unit occurred in the spring of 1999. Dick Wolf, along with officials from NBC and Studios USA were at the final auditions for the two leads at Rockefeller Center. The last round had been narrowed down to seven finalists. For the female lead, Detective Olivia Benson, actresses Samantha Mathis, Reiko Aylesworth, and Mariska Hargitay were being considered. For the male role, Detective Elliot Stabler, the finalists were Tim Matheson, John Slattery, Nick Chinlund, and Christopher Meloni', ""Salaries[edit]\nBy season twelve, both Mariska Hargitay and Christopher Meloni had become among the highest-paid lead actors on a drama, with each earning nearly $400,000 per episode, a salary that TV Guide said was exceeded only by House's Hugh Laurie.[55] During season sixteen, Hargitay was reported to be earning $450,000 per episode, or $10,350,000 per season,[56] In season seventeen, her salary increased to $500,000 per episode.[57]\nCast and characters[edit]\nMain article: List of Law & Order: Special Victims Unit characters\nCast\nCharacter\nRank/Position\nSeasons\nNotes\nRegular\nRecurring\nGuest"", 'Law & Order: Special Victims Unit (often abbreviated to Law & Order: SVU or just SVU) is an American police procedural, legal, crime drama television series set in New York City, where it is also primarily produced. In the style of the original Law & Order, episodes are often ""ripped from the headlines"" or loosely based on real crimes that have received media attention. Created by Dick Wolf, the series premiered on NBC on September 20, 1999, as the second series in Wolf\'s successful Law & Order franchise', 'Law & Order: Special Victims Unit (season 19) - Wikipedia\n \nLaw & Order: Special Victims Unit (season 19) \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nLaw & Order: Special Victims Unit (season\xa019)\nSeason 19 promotion cover\nStarring\nMariska Hargitay\nKelli Giddish\nIce-T\nPeter Scanavino\nRaúl Esparza\nCountry of origin\nUnited States\nNo. of episodes\n9\nRelease\nOriginal network\nNBC\nOriginal release\nSeptember 27, 2017\xa0(2017-09-27)\xa0– present\nSeason chronology\n←\xa0Previous\nSeason 18\nList of Law & Order: Special Victims Unit episodes']",Christopher Meloni
68,who wrote the book the origin of species,"Charles Darwin wrote the book ""On the Origin of Species.""","[""On the Origin of Species (or more completely, On the Origin of Species by Means of Natural Selection, or the Preservation of Favoured Races in the Struggle for Life),[3] published on 24 November 1859, is a work of scientific literature by Charles Darwin which is considered to be the foundation of evolutionary biology.[4] Darwin's book introduced the scientific theory that populations evolve over the course of generations through a process of natural selection. It presented a body of evidence that the diversity of life arose by common descent through a branching pattern of evolution"", 'On the Origin of Species - Wikipedia\n \nOn the Origin of Species \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\n""Origin of Species"" redirects here. For other uses, see Origin of Species (disambiguation).\nOn the Origin of Species\nThe title page of the 1859 edition\nof On the Origin of Species[1]\nAuthor\nCharles Darwin\nCountry\nUnited Kingdom of Great Britain and Ireland\nLanguage\nEnglish\nSubject\nNatural selection\nEvolutionary biology\nPublished\n24 November 1859[2] (John Murray)\nMedia\xa0type\nPrint (Hardback)\nPages\n502\nOCLC\n352242\nPreceded\xa0by', 'The sixth edition was published by Murray on 19 February 1872 as The Origin of Species, with ""On"" dropped from the title. Darwin had told Murray of working men in Lancashire clubbing together to buy the 5th edition at fifteen shillings and wanted it made more widely available; the price was halved to 7s 6d by printing in a smaller font. It includes a glossary compiled by W.S. Dallas. Book sales increased from 60 to 250 per month.[3][90]\nPublication outside Great Britain[edit]\nAmerican botanist Asa Gray (1810–1888)', '^ Jump up to: a b c The book\'s full original title was On the Origin of Species by Means of Natural Selection, or the Preservation of Favoured Races in the Struggle for Life. In the 1872 sixth edition ""On"" was omitted, so the full title is The origin of species by means of natural selection, or the preservation of favoured races in the struggle for life. This edition is usually known as The Origin of Species. The 6th is Darwin\'s final edition; there were minor modifications in the text of certain subsequent issues. See Freeman, R. B', 'With Murray\'s persuasion, the title was eventually agreed as On the Origin of Species, with the title page adding by Means of Natural Selection, or the Preservation of Favoured Races in the Struggle for Life.[3] In this extended title (and elsewhere in the book) Darwin used the biological term ""races"" interchangeably with ""varieties"", meaning varieties within a species']",Charles Darwin
69,when is the next deadpool movie being released,"The next Deadpool movie, Deadpool 2, is scheduled to be released in the United States on May 18, 2018.","['Deadpool 2 is scheduled to be released in the United States on May 18, 2018. A sequel, Deadpool 3, is in development.\nContents\n\xa0[hide]\xa0\n1 Premise\n2 Cast\n3 Production\n3.1 Development\n3.2 Pre-production\n3.3 Filming\n3.4 Post-production\n4 Music\n5 Release\n5.1 Marketing\n6 Box office projection\n7 Sequel\n8 References\n9 External links\nPremise\nDeadpool forms a team of mutants called the X-Force to protect young mutant Russell from the time-traveling soldier Cable.[1][2]\nCast\nRyan Reynolds as Wade Wilson / Deadpool:', ""Music\nDeadpool composer Junkie XL chose not to return for the sequel due to Miller's departure.[68] In October 2017, Tyler Bates was hired to write the score for the film.[69]\nRelease\nDeadpool 2 is set to be released in the United States on May 18, 2018.[63] It was previously scheduled for release on June 1 of that year.[49][62]\nMarketing"", ""Post-production\nFox revealed in November that the film was technically untitled at that point, and not officially known as Deadpool 2 as had been assumed; the studio was temporarily referring to the film as The Untitled Deadpool Sequel.[62] In January 2018, the film's release was moved up to May 18, 2018.[63] A month later, Terry Crews was revealed to have a role in the film,[22] the character Shatterstar was confirmed to be appearing,[19] and the production returned to Vancouver for six days of reshoots under a new working title, Daisy.[64][65]"", 'Deadpool 2 is an upcoming American superhero film based on the Marvel Comics character Deadpool, distributed by 20th Century Fox. It is intended to be the eleventh installment in the X-Men film series, and a sequel to the 2016 film Deadpool. The film is directed by David Leitch from a script by Rhett Reese, Paul Wernick, and Ryan Reynolds, with Reynolds starring in the title role alongside Josh Brolin, Morena Baccarin, Julian Dennison, Zazie Beetz, T.J. Miller, Brianna Hildebrand, Jack Kesy, and Stefan Kapičić', ""Producer Simon Kinberg revealed in September 2015 that discussions had begun regarding ideas for a sequel to Deadpool, which was set to be released in February 2016. One idea was for the film to introduce the character Cable, who had previously been looked at to appear in the first Deadpool, and X-Men: Days of Future Past before that.[25] Cable's inclusion in the potential sequel was confirmed by the character Deadpool, breaking the fourth wall, in the post-credit scene of the first film"", ""Plans for a sequel to Deadpool began before that film's release, and were confirmed in February 2016. Though the original creative team of Reynolds, Reese, Wernick, and director Tim Miller were quickly set to return for the second film, Miller left the project in October 2016 due to creative differences with Reynolds, and was soon replaced by Leitch. An extensive casting search took place to fill the role of Cable, with Brolin ultimately cast; the casting of Beetz as Domino was also noteworthy. Filming took place in British Columbia, Canada, from June to October 2017""]","May 18, 2018"
70,who started the state of the union address,"Franklin Delano Roosevelt started the use of the term ""State of the Union"" in 1934.","['For many years, the speech was referred to as ""the President\'s Annual Message to Congress"".[10] The actual term ""State of the Union"" first emerged in 1934 when Franklin D. Roosevelt used the phrase, becoming its generally accepted name since 1947.[10]\nFranklin Delano Roosevelt\nState of the Union (Four Freedoms) (January 6, 1941)\nFranklin Delano Roosevelt\'s January 6, 1941 State of the Union Address introducing the theme of the Four Freedoms (starting at 32:02)\nProblems playing this file? See media help.', 'For many years, the speech was referred to as ""the President\'s Annual Message to Congress"".[10] The actual term ""State of the Union"" first emerged in 1934 when Franklin D. Roosevelt used the phrase, becoming its generally accepted name since 1947.[10]\nFranklin Delano Roosevelt\nState of the Union (Four Freedoms) (January 6, 1941)\nFranklin Delano Roosevelt\'s January 6, 1941 State of the Union Address introducing the theme of the Four Freedoms (starting at 32:02)\nProblems playing this file? See media help.']",Woodrow Wilson
71,who is the owner of reading football club,Dai Yongge and Dai Xiuli own the majority stake in Reading Football Club.,"['Reading F.C. - Wikipedia\n \nReading F.C. \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nNot to be confused with Reading F.C. Women.\nReading\nFull name\nReading Football Club\nNickname(s)\nThe Royals\nFounded\n1871; 147\xa0years ago\xa0(1871)\nGround\nMadejski Stadium\nGround\xa0Capacity\n24,161[1]\nOwner\nDai Yongge and Dai Xiuli (majority)\nChairman\nSir John Madejski\nManager\nJaap Stam\nLeague\nChampionship\n2016–17\nChampionship, 3rd\nWebsite\nClub website\nHome colours\nAway colours\n Current season', 'Ownership and finances[edit]\nReading Football Club ownership structure: 75% Owned by Renhe Sports Management Ltd, 100% owned by Xiu Li Dai and Yongge Dai. 25% Owned by Narin Niruttinanon\nReading F.C. Directors: Xiu Li Dai, Yongge Dai, Ronald Gourlay, Narin Niruttinanon, Nigel Howe\nPlayers[edit]\nAs of 8 January 2018\nFirst-team squad[edit]\nNote: Flags indicate national team as defined under FIFA eligibility rules. Players may hold more than one non-FIFA nationality.\nNo.\nPosition\nPlayer\n1\nGK\nVito Mannone\n2\nDF\nChris Gunter\n4\nMF\nJoey van den Berg\n5\nDF\nPaul McShane (captain)\n6\nDF\nLiam Moore\n7\nMF']",Dai Yongge
72,who is the head a in pretty little liars,"The head ""A"" in Pretty Little Liars is initially revealed to be Mona Vanderwaal, who later becomes Uber A, played by Alex Drake in the series finale.","['A (Pretty Little Liars) - Wikipedia\n \nA (Pretty Little Liars) \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\n“A”\nPretty Little Liars character\nFirst appearance\nNovel:\nPretty Little Liars (2006)\nTelevision:\n""Pilot"" (episode 1.01)[1]\nCreated by\nSara Shepard\nInformation\nAliases\nOriginal A\nBig A\nUber A\nA-moji\nA.D.\nPathology\nStalker\nSpy\nBlackmailer\nTorturer\nManipulator\nM.O.\nSpying targets to discover secrets, taunting and threatening their victims via phone\nLocation\nRosewood, Pennsylvania', 'Location\nRosewood, Pennsylvania\n""A"" is a fictional character created in 2006 by author Sara Shepard. It is a character of both Pretty Little Liars\' books and television series, and primarily appears as a stalker and the main antagonist of the stories. ""A"" is one of the main characters of the stories, appearing anonymously in the majority of the episodes and books.', 'Original A was the first ""A"" and revealed to be Mona Vanderwaal. Mona began torturing Alison by sending her gifts, threats and soon attacking her while wearing a zombie costume. ""A"" continued to mess with Ali and her mother Jessica DiLaurentis, whom she believed it to be Spencer Hastings. After Alison\'s disappearance, ""A"" went away for a year but after the corpse of Bethany Young (believed to be Alison at the time) was found, she reemerged. ""A"" began sending the Liars messages about things only Alison knew about them and soon even began messing with their parents', '. This causes Caleb to nickname her Amoji. However, in the sixth-season finale, she begins using the alias ""A.D."" and kidnaps Hanna, whom she believes is accountable for her sister\'s homicide.[2] Hanna manages to escape Uber A\'s clutches and Alex goes after Alison, who the Liars suggested as guilty for her own cousin\'s murder. Uber A eventually finds out that Alison is innocent after searching her jacket', 'Uber A, also known as A.D., is the third major ""A"" to have tormented the Liars. In the show\'s series finale, Uber A\'s identity is revealed to be Alex Drake, Spencer\'s twin sister who was put up for adoption at birth. She desperately craves vengeance over the tragic passing of Charlotte DiLaurentis, who was her half-sister, and is trying to seek out the person responsible. Unlike Mona or Charlotte, Alex does not use any nicknames at first but instead signs their messages with emojis, which differentiates her from the A-Team. This causes Caleb to nickname her Amoji']",CeCe Drake
73,how many countries are a part of opec,14 countries are part of OPEC as of May 2017.,"['Organization of the Petroleum Exporting Countries (OPEC, /ˈoʊpɛk/ OH-pek, or OPEP in several other languages) is an intergovernmental organization of 14 nations as of February 2018, founded in 1960 in Baghdad by the first five members (Iran, Iraq, Kuwait, Saudi Arabia, and Venezuela), and headquartered since 1965 in Vienna, Austria', 'Membership[edit]\nCurrent member countries[edit]\nAs of May 2017, OPEC has 14 member countries: six in the Middle East (Western Asia), six in Africa, and two in South America. According to the U.S. Energy Information Administration (EIA), OPEC\'s combined rate of oil production (including gas condensate) represented 44 percent of the world\'s total in 2016,[6] and OPEC accounted for 73 percent of the world\'s ""proven"" oil reserves, including 48 percent from just the six Middle Eastern members:[7]', 'OPEC - Wikipedia\n \nOPEC \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nOrganization of the Petroleum Exporting Countries (OPEC)\nFlag\nHeadquarters\nVienna, Austria\nOfficial language\nEnglish\nType\nInternational cartel[1]\nMembership\n14 states\n(May 2017)[2][3][show]\n\xa0Algeria\n\xa0Angola\n\xa0Ecuador\n\xa0Equatorial Guinea\n\xa0Gabon\n\xa0Iran*\n\xa0Iraq*\n\xa0Kuwait*\n\xa0Libya\n\xa0Nigeria\n\xa0Qatar\n\xa0Saudi Arabia*\n\xa0United Arab Emirates\n\xa0Venezuela*\n* founding member\nLeaders\n•\xa0Secretary General\nMohammed Barkindo\nEstablishment\nBaghdad, Iraq\n•\xa0Statute\nSeptember 1960\n•\xa0In effect\nJanuary 1961\nCurrency', "". As of May 2017, OPEC's members are Algeria, Angola, Ecuador, Equatorial Guinea, Gabon, Iran, Iraq, Kuwait, Libya, Nigeria, Qatar, Saudi Arabia (the de facto leader), United Arab Emirates, and Venezuela, while Indonesia is a former member. Two-thirds of OPEC's oil production and reserves are in its six Middle Eastern countries that surround the oil-rich Persian Gulf."", ""During 1961–1975, the five founding nations were joined by Qatar (1961), Indonesia (1962–2008, rejoined 2014-2016), Libya (1962), United Arab Emirates (originally just the Emirate of Abu Dhabi, 1967), Algeria (1969), Nigeria (1971), Ecuador (1973–1992, rejoined 2007), and Gabon (1975–1994, rejoined 2016).[2] By the early 1970s, OPEC's membership accounted for more than half of worldwide oil production"", '. As of 2016, the 14 countries accounted for an estimated 44 percent of global oil production and 73 percent of the world\'s ""proven"" oil reserves, giving OPEC a major influence on global oil prices that were previously determined by American-dominated multinational oil companies.', "".[58] Indicating that OPEC is not averse to further expansion, Mohammed Barkindo, OPEC's Acting Secretary General in 2006, urged his African neighbors Angola and Sudan to join,[59] and Angola did in 2007, followed by Equatorial Guinea in 2017.[3] Since the 1980s, representatives from Egypt, Mexico, Norway, Oman, Russia, and other oil-exporting nations have attended many OPEC meetings as observers, as an informal mechanism for coordinating policies.[21]""]",14
74,who sings the song you'll never find another love like mine,"The song ""You'll Never Find Another Love Like Mine"" is sung by R&B singer Lou Rawls.","['""You\'ll Never Find Another Love Like Mine"" (written by Kenny Gamble & Leon Huff) is a song performed by R&B singer Lou Rawls on his 1976 album All Things in Time. The song proved to be Rawls\' breakthrough hit, reaching number one on both the R&B[1] and Easy Listening charts as well as number four on the dance chart [2] and number two on the US Billboard Hot 100, where it was kept from the top spot for two weeks by ""You Should Be Dancing"" by The Bee Gees[3] and ""(Shake, Shake, Shake) Shake Your Booty"" by KC and the Sunshine Band,[4] respectively', 'You\'ll Never Find Another Love Like Mine - Wikipedia\n \nYou\'ll Never Find Another Love Like Mine\nFrom Wikipedia, the free encyclopedia\n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\n""You\'ll Never Find Another Love Like Mine""\nSingle by Lou Rawls\nfrom the album All Things in Time\nB-side\n""Let\'s Fall in Love All Over Again""\nReleased\nMay 1976\nFormat\n7""\nGenre\nR&B, jazz, disco\nLength\n4:26 (album version)\n3:36 (single edit)\nLabel\nPhiladelphia International Records\nSongwriter(s)\nKenny Gamble\nLeon Huff\nProducer(s)\nKenny Gamble\nLeon Huff\nLou Rawls singles chronology\n""A Natural Man""\n(1971)', 'Cover versions[edit]\n""You\'ll Never Find Another Love Like Mine"" has been covered by singers Michael Bublé, Laura Pausini, reggae singer John Holt and by the Dub Pistols (who use a sample of John Holt\'s version) on their Speakers and Tweeters album. Jazz saxophonist Stanley Turrentine covered the song on his 1976 album The Man with the Sad Face.[12] as did Hank Crawford on Hank Crawford\'s Back. This song was also featured on The Proud Family Soundtrack.\nSee also[edit]\nList of number-one R&B singles of 1976 (U.S.)\nList of number-one adult contemporary singles of 1976 (U.S.)\nReferences[edit]', '""A Natural Man""\n(1971)\n""You\'ll Never Find Another Love Like Mine""\n(1976)\n""Groovy People""\n(1976)\n""A Natural Man""\n(1971)\n""You\'ll Never Find Another Love Like Mine""\n(1976)\n""Groovy People""\n(1976)']",Lou Rawls
75,where is gall bladder situated in human body,The gallbladder is situated just beneath the liver in the human body.,"['7202\nAnatomical terminology\n[edit on Wikidata]\nIn vertebrates, the gallbladder is a small hollow organ where bile is stored and concentrated before it is released into the small intestine. In humans, the pear-shaped gallbladder lies beneath the liver, although the structure and position of the gallbladder can vary significantly among animal species. It receives and stores bile, produced by the liver, via the common hepatic duct, and releases it via the common bile duct into the duodenum, where the bile helps in the digestion of fats.', 'Gallbladder[edit]\nThe gallbladder is a hollow part of the biliary tract that sits just beneath the liver, with the gallbladder body resting in a small depression.[23] It is a small organ where the bile produced by the liver is stored, before being released into the small intestine. Bile flows from the liver through the bile ducts and into the gall bladder for storage. The bile is released in response to cholecystokinin (CCK) a peptide hormone released from the duodenum. The production of CCK (by endocrine cells of the duodenum) is stimulated by the presence of fat in the duodenum.[24]', 'Gallbladder - Wikipedia\n \nGallbladder \nFrom Wikipedia, the free encyclopedia \nThis is the latest accepted revision, reviewed on 18 January 2018.\n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nGallbladder\nThe gallbladder sits beneath the liver.\nDetails\nPrecursor\nForegut\nSystem\nDigestive system\nArtery\nCystic artery\nVein\nCystic vein\nNerve\nCeliac ganglia, Vagus nerve[1]\nIdentifiers\nLatin\nVesica biliaris, vesica fellea\nMeSH\nA03.159.439\nDorlands\n/Elsevier\n12383343\nTA\nA05.8.02.001\nFMA\n7202\nAnatomical terminology\n[edit on Wikidata]', 'The gallbladder is shaped like a pear, with its tip opening into the cystic duct.[4] The gallbladder is divided into three sections: the fundus, body, and neck. The fundus is the rounded base, angled so that it faces the abdominal wall. The body lies in a depression in the surface of the lower liver. The neck tapers and is continuous with the cystic duct, part of the biliary tree.[2] The gallbladder fossa, against which the fundus and body of the gallbladder lie, is found beneath the junction of hepatic segments IVB and V', '8 References\n9 External links\nStructure[edit]\nThe gallbladder is a hollow organ that sits in a shallow depression below the right lobe of the liver, that is grey-blue in life.[2] In adults, the gallbladder measures approximately 7 to 10 centimetres (2.8 to 3.9 inches) in length and 4 centimetres (1.6\xa0in) in diameter when fully distended.[3] The gallbladder has a capacity of about 50 millilitres (1.8 imperial fluid ounces).[2]', 'The main purpose of the gallbladder is to store bile, also called gall, needed for the digestion of fats in food. Produced by the liver, bile flows through small vessels into the larger hepatic ducts and ultimately though the cystic duct (parts of the biliary tree) into the gallbladder, where it is stored. At any one time, 30 to 60 millilitres (1.0 to 2.0\xa0US\xa0fl\xa0oz) of bile is stored within the gallbladder.[15]', ""It is divided into three sections, a fundus, body and neck. The neck tapers and connects to the biliary tract via the cystic duct, which then joins the common hepatic duct to form the common bile duct. At this junction is a mucosal fold called Hartmann's pouch, where gallstones commonly get stuck. The muscular layer of the body is of smooth muscle tissue that helps the gallbladder contract, so that it can discharge its bile into the bile duct. The gallbladder needs to store bile in a natural, semi-liquid form at all times""]",beneath the liver
76,ed edd n eddy double d boy or girl,"Double D, also known as Edd, is a boy.","['Ed, Edd n Eddy follows the lives of ""the Eds"", three preteen boys who all share variations of the name Ed, but differ greatly in their personalities: Ed (voiced by Matt Hill) is the strong, dim-witted dogsbody of the group; Edd (Samuel Vincent), called Double D, is an inventor, neat freak, and the most intelligent of the Eds; and Eddy (Tony Sampson) is a devious, quick-tempered, bitter con artist, and self-appointed leader of the Eds. The three devise plans to scam the cul-de-sac kids out of their money, which they want to use to buy jawbreakers', 'French: Ed, Edd et Eddy\nItalian: Ed, Edd & Eddy\nPortuguese: Du, Dudu & Edu\njapanese エド エッド エディ\nReferences\n^ Jump up to: a b c d e f Danny Antonucci (October 10, 2006). Ed, Edd n Eddy: The Complete First Season—Interview with the Creator (DVD). Warner Home Video. Event occurs at 0:22–2:34.\xa0\nJump up ^ Beard, William; White, Jerry (June 1, 2002). North of Everything. University of Alberta Press. p.\xa063. ISBN\xa0978-0-88864-390-2.\xa0\n^ Jump up to: a b c d e f g h i j k l m Danny Antonucci (April 24, 2007). Ed, Edd n Eddy: The Complete Second Season (DVD). Warner Home Video.']","three preteen boys named Ed, Edd (called ""Double D"" to avoid confusion with Ed), and Eddy—collectively known as ""the Eds"""
