,question,answer,contexts,ground_truth
52,disease of the light sensitive innermost layer of the eyeball,"Retinitis pigmentosa, Macular degeneration, and Cone-rod dystrophy are diseases affecting the light-sensitive innermost layer of the eyeball, the retina.","['The light-sensitive innermost layer of the eyeball is the retina.', 'Retinitis pigmentosa, Macular degeneration, and Cone-rod dystrophy are associated with the light-sensitive innermost layer of the eyeball, the retina.']",No answer
53,who wrote the poem the woods are lovely dark and deep,"Robert Frost wrote the poem ""The Woods Are Lovely Dark and Deep."" No answer","['The author of the poem ""The Woods Are Lovely Dark and Deep"" is Robert Frost.', 'The poem ""The Woods Are Lovely Dark and Deep"" was written by Robert Frost. However, there is no specific year mentioned in the provided context for this particular poem. It is known that Robert Frost wrote many poems, including ""Stopping by Woods on a Snowy Evening,"" which was written in 1922 and published in 1923. Without additional sources specifying the exact year for ""The Woods Are Lovely Dark and Deep,"" we cannot provide a precise answer. No answer']",No answer
54,who said if a tree falls in the woods and nobody hears it,"Charles Riborg Mann and George Ransom Twiss said ""if a tree falls in the woods and nobody hears it."" (Source: If a tree falls in a forest - Wikipedia)","['Charles Riborg Mann and George Ransom Twiss are credited with the phrase ""if a tree falls in the woods and nobody hears it,"" as it was posed in their 1910 book Physics.[6]', 'The phrase ""if a tree falls in the woods and nobody hears it"" originated in the 1910 book Physics by Charles Riborg Mann and George Ransom Twiss. It was used as a thought experiment to quiz readers on the contents of the chapter. (Source: If a tree falls in a forest - Wikipedia)']",Charles Riborg Mann
55,who wants a heart in the wizard of oz,The Tin Woodman wants a heart in The Wizard of Oz.,"[""The Tin Woodman, also known as the Tin Man or Tin Woodsman, is a character in the fictional Land of Oz created by L. Frank Baum. He first appeared in Baum's 1900 book The Wonderful Wizard of Oz. In the 1939 film The Wizard of Oz, he was played by actor Jack Haley. His origin story involves being transformed into tin due to punishment by the Wicked Witch of the North. No answer"", 'A heart symbolizes tenderness, emotion, and compassion in The Wizard of Oz. Despite lacking a physical heart, the Tin Woodman demonstrates these qualities throughout the story.']",the Tin Woodman
56,who is the guy who walked across the twin towers,Philippe Petit walked across the Twin Towers. Source: [Retrieved Document].,"['The person who walked across the Twin Towers is Philippe Petit.', 'The event occurred on December 7, 1963.', 'The event signified the end of the ""separate but equal"" doctrine and served as a catalyst for the expanding civil rights movement. (Source: Significance section)']",Philippe Petit
57,how do you think south africa compared with singapore,"South Africa and Singapore differ significantly in geography, population size, economy focus, government structure, language usage, and climate. South Africa is larger, has a diverse population and economy centered on mining and agriculture, while Singapore is smaller, with a highly developed economy focusing on technology and services. [1, 2, 4]","[""Both South Africa and Singapore are independent countries that achieved independence from Great Britain and are members of the Commonwealth of Nations. They have friendly bilateral relations, cooperate in social and economic development issues, and maintain High Commissions in each other's capitals. Additionally, they have historical trade relations, with South Africa exporting various goods such as organic chemicals, petroleum products, iron and steel, non-ferrous metals, vegetables, inorganic chemicals, metallic ores and scrap, and paper manufactures to Singapore. In 2011, the total trade value between them was approximately $2.54 billion. [1, 2, 4, 6]"", ""South Africa and Singapore have several differences:\n1. Geography: South Africa is located in southern Africa, while Singapore is an island city-state in Southeast Asia.\n2. Population: Singapore's population is around 5.8 million, whereas South Africa's population is approximately 59 million.\n3. Economy: Singapore focuses on high-tech industries and services, while South Africa relies more on mining and agriculture.\n4. Government Structure: Singapore follows a parliamentary republic system, while South Africa has a presidential democratic republic structure.\n5. Language: English is widely spoken in both countries but additional languages like Afrikaans and various indigenous languages are prominent in South Africa.\n6. Climate: Singapore has a tropical climate, while South Africa experiences four distinct seasons.\n\nSources:\n[1], [2], [4]""]",No answer
58,when is the last time the vikings were in the nfc championship,The Vikings last reached the NFC Championship game in 1977.,"[""The NFC Championship is the game that determines the champion of the National Football Conference (NFC) in American football. It is played annually between the winners of the NFC's two divisions, typically held at a neutral site. No answer"", 'The Vikings last reached the NFC Championship game in 1977.']",1976
59,who said the poison is in the dose,"Paracelsus said ""the poison is in the dose.""","['The phrase ""the poison is in the dose"" is attributed to Paracelsus, as indicated in the sources.', 'The phrase ""the dose makes the poison"" was first attributed to Paracelsus in his work ""Septem Defensiones"" in 1538.', 'The phrase ""the poison is in the dose"" originates from the toxicology principle ""The dose makes the poison,"" coined by Paracelsus. It indicates that a substance\'s toxicity depends on the amount ingested rather than the nature of the substance itself.']",Paracelsus
60,what does the transfer case control module do,"The transfer case control module controls the operation of the transfer case, allowing the driver to switch between two-wheel-drive and four-wheel-drive modes electronically. It transfers power from the transmission to the front and rear axles, synchronizes wheel rotations, engages/disengages four-wheel-drive, and controls ESOF systems.","['A transfer case control module is an electronic component that controls the operation of the transfer case, allowing the driver to switch between two-wheel-drive and four-wheel-drive modes electronically.', 'A transfer case control module performs the following functions:\n1. Transfers power from the transmission to the front and rear axles.\n2. Synchronizes the rotation difference between front and rear wheels.\n3. Engages or disengages four-wheel-drive modes (two-wheel-drive or four-wheel-drive).\n4. Controls Electronic Shift On-the-Fly (ESOF) systems for engaging four-wheel-drive at lower speeds.\n5. Mechanically locks front and rear axles for off-road use.']",transfers power from the transmission to the front and rear axles by means of drive shafts
61,where do they grow hops in the us,"Hops in the US are grown primarily in the Yakima valley in Washington, the Willamette valley in Oregon, and western Canyon County, Idaho including Parma, Wilder, Greenleaf, and Notus.","['The major hop growing regions in the US include the Yakima valley in Washington, the Willamette valley in Oregon, and western Canyon County, Idaho including Parma, Wilder, Greenleaf, and Notus. [19]', ""Climatic conditions suitable for hop growth in the US include moist temperate climates similar to those found near the 48th parallel north. Optimal environments for hop cultivation require specific soil characteristics, including boron availability, and favorable growing conditions such as training on trellis systems to maximize growth. Major hop-producing regions in the U.S. include New York, California, Oregon, and Washington state. However, problems like powdery and downy mildews have historically affected these regions. Today, significant hop production occurs in the Yakima and Willamette valleys in Washington and Oregon, as well as in Idaho's western Canyon County.""]",the Yakima (Washington) and Willamette (Oregon) valleys
62,where does kevins family go in home alone 2,Kevin's family goes to New York and Chicago in Home Alone 2.,"[""Kevin's family visits New York and Chicago in Home Alone 2."", ""The members of Kevin's family in Home Alone 2 are:\n- Steven Murphy (Colin Farrell) - Anna's husband and Bob and Kim's father\n- Anna Murphy (Nicole Kidman) - Steven's wife and Bob and Kim's mother\n- Bob Murphy (Macaulay Culkin) - Kevin's brother\n- Kim Murphy (Raffey Cassidy) - Steven and Anna's daughter and Bob's sister""]",Florida
63,how many words are in national anthem of pakistan,87 words,"['There are 87 words in the lyrics of the national anthem of Pakistan.', 'The national anthem of Pakistan is called Qaumi Taranah, also known as Pāk Sarzamīn. It was composed by Ahmad G. Chagla in 1949 and officially adopted in August 1954.']",No answer
64,when was the first australian prime minister elected,"The first Australian Prime Minister, Edmund Barton, was elected in 1901.","['The first Australian Prime Minister, Edmund Barton, was elected in 1901.', 'Edmund Barton was the first Australian Prime Minister.']",Sir Edmund Barton
65,who sings the theme song for the proud family,Solange Knowles sings the theme song for The Proud Family on Disney Plus. (Source: Retrieved document),"['Solange Knowles sings the theme song for The Proud Family on Disney Plus.', 'The title of the theme song for The Proud Family is ""We Got the Hits"" performed by Solange Knowles & Destiny\'s Child.']",Destiny's Child
66,what is the short story the gift of the magi about,"""The Gift of the Magi"" is a short story about a young husband and wife, Jim and Della, who sell their most valuable possessions—Della's long hair and Jim's watch—to buy Christmas gifts for each other. The twist ending reveals their selflessness and love.","['A young husband and wife, with limited funds, struggle to buy secret Christmas gifts for each other. The wife sells her long hair to buy a watch fob for her husband’s watch, while the husband sells his watch to buy combs for his wife’s hair. The twist ending reveals their selflessness and love.', 'The main characters in ""The Gift of the Magi"" are Mr. James Dillingham Young (""Jim"") and his wife, Della.', 'The theme of ""The Gift of the Magi"" is selflessness and the true meaning of giving, as exemplified by the couple who sacrifice their most valued possessions to buy each other Christmas gifts.']",a young husband and wife and how they deal with the challenge of buying secret Christmas gifts for each other with very little money
67,cast of law & order special victim unit,"Detectives Elliot Stabler and Olivia Benson, played by Christopher Meloni and Mariska Hargitay respectively.","['The main characters in Law & Order: Special Victims Unit are Detectives Elliot Stabler and Olivia Benson, played by Christopher Meloni and Mariska Hargitay respectively.', 'No answer']",Christopher Meloni
68,who wrote the book the origin of species,"Charles Darwin wrote the book ""On the Origin of Species.""","['Charles Darwin is the author of the book ""On the Origin of Species.""', 'The book ""On the Origin of Species"" was published on 24 November 1859.']",Charles Darwin
69,when is the next deadpool movie being released,"Deadpool 2 is scheduled for release on May 18, 2018. No specific release date for Deadpool 3 is mentioned.","['The next Deadpool movie, titled Deadpool 2, is scheduled for release in the United States on May 18, 2018.', 'The current status of the next Deadpool movie, titled Deadpool 3, is in development. No specific details about its production or release date are provided in the given context.']","May 18, 2018"
70,who started the state of the union address,Franklin Delano Roosevelt started the State of the Union address in 1941.,"['Franklin Delano Roosevelt started the first State of the Union address in 1941.', 'Since 1947, the term ""State of the Union"" has been generally accepted for the annual message delivered by the President to a joint session of Congress.']",Woodrow Wilson
71,who is the owner of reading football club,"The current owners of Reading Football Club are Dai Yongge and Dai Xiuli, who own majority shares through Renhe Sports Management Ltd. (Source: Reading F.C. - Wikipedia)","['The current owners of Reading Football Club are Dai Yongge and Dai Xiuli, who own majority shares through Renhe Sports Management Ltd.', 'Previous owners of Reading Football Club include Renhe Sports Management Ltd, Xiu Li Dai and Yongge Dai, and Narin Niruttinanon. (Source: Reading F.C. - Wikipedia)']",Dai Yongge
72,who is the head a in pretty little liars,"Original A and Mona Vanderwaal are the heads ""A"" in different seasons of Pretty Little Liars. No answer","['The head ""A"" in Pretty Little Liars Season 1 is originally Mona Vanderwaal, who is known as Original A.', 'The head ""A"" in Pretty Little Liars Season 2 is originally Mona Vanderwaal, who was known as Original A.', 'In season three of Pretty Little Liars, the character known as ""A"" is the main antagonist. The identity of ""A"" changes throughout the seasons; in season three, ""A"" is originally portrayed as Original A, later revealed to be Mona Vanderwaal.']",CeCe Drake
73,how many countries are a part of opec,14 countries are part of OPEC as of May 2017.,"['There are 14 member countries in OPEC as of May 2017.', 'As of May 2017, the member countries of OPEC are Algeria, Angola, Ecuador, Equatorial Guinea, Gabon, Iran, Iraq, Kuwait, Libya, Nigeria, Qatar, Saudi Arabia, United Arab Emirates, and Venezuela.']",14
74,who sings the song you'll never find another love like mine,"Lou Rawls sings the song ""You'll Never Find Another Love Like Mine.""","['The artist of the song ""You\'ll Never Find Another Love Like Mine"" is Lou Rawls.', 'No answer']",Lou Rawls
75,where is gall bladder situated in human body,The gall bladder is situated beneath the liver in the human body.,"['The gallbladder is located beneath the liver in the human body.', 'The function of the gall bladder in the human body is to store and release bile, which aids in the digestion of fats by breaking down larger molecules into smaller ones. Bile is produced by the liver and stored in the gallbladder until it is needed for digestion in the small intestine.']",beneath the liver
76,ed edd n eddy double d boy or girl,Double D is a boy.,"['Ed, Edd, and Eddy are three preteen boys named Ed, Edd (also known as Double D), and Eddy who live in a suburban cul-de-sac in the fictional town of Peach Creek. They are collectively known as ""the Eds."" Ed is strong and dim-witted, Edd is intelligent and an inventor, and Eddy is a devious con artist and self-appointed leader. They often scheme to scam their peers to buy jawbreakers.', 'The Double D character, referred to as ""Double D"" to avoid confusion with Ed, is a boy.']","three preteen boys named Ed, Edd (called ""Double D"" to avoid confusion with Ed), and Eddy—collectively known as ""the Eds"""
77,how long have we been celebrating pi day,We have been celebrating Pi Day since 1988.,"['We have been celebrating Pi Day since 1988.', 'The first Pi Day celebration was organized by Larry Shaw at the San Francisco Exploratorium in 1988.', 'Pi Day was first celebrated in 1988 at the San Francisco Exploratorium by Larry Shaw. It is observed annually on March 14th due to the numerical resemblance to the first three significant digits of pi (3.14). Over the years, it has become a global event involving pie-eating, discussions about pi, and other activities related to mathematics. In 2009, the U.S. House of Representatives recognized Pi Day.']",2009
78,with which regions does australia have historical ties,"Australia has historical ties with Papua New Guinea, Southeast and East Asia (ASEAN), Oceania (including Fiji, Nauru, New Zealand, Solomon Islands, Tonga), and the Vatican City.","['Australia has historical ties with several regions including:\n- Papua New Guinea (formerly a dependent territory)\n- Southeast and East Asia (Association of Southeast Asian Nations - ASEAN)\n- Oceania (countries such as Fiji, Nauru, New Zealand, Solomon Islands, Tonga)\n\nSources:\n1. Context provided by user.', ""Historical events connecting Australia with these regions include:\n- First World War and the ANZAC Spirit formed at Gallipoli (Australia-New Zealand relations)\n- Australian involvement in the Korean War, assisting UN forces\n- Participation in combating the communist revolt in Malaya (1948-60) and the Indonesian-supported invasion of Sarawak (1963-65)\n- Establishment of diplomatic relations with the Holy See in 1973 (Australia-Vatican City relations)\n- Contributions to the United Nations and the South Pacific Commission (Australia's role in international organizations)\n- Proposal of the Colombo Plan to assist developing countries in Asia (Australia's economic initiatives)""]",No answer
79,who sang rip it up and start again,No answer,"['The artist behind the song ""Rip It Up"" is Orange Juice.', 'No answer']",Orange Juice
80,what is the first basic process in the light reaction of photosynthesis,The first basic process in the light reaction of photosynthesis is the absorption of light by chlorophyll and other pigments in reaction centers. [1][2][3],"['The processes in the light reaction of photosynthesis include:\n1. **Z Scheme**: The absorption of light by chlorophyll and other pigments in reaction centers.\n2. **Water Photolysis**: Splitting of water molecules (H2O) into oxygen (O2), protons (H+), and electrons (e-).\n3. Electron Transport Chains: Movement of electrons through a series of electron carriers, generating ATP and NADPH.\nThese processes occur in chloroplasts in plants or in the plasma membrane in bacteria. [1][2][3]', 'The first process in any of the light reaction processes of photosynthesis is the absorption of light energy by proteins called reaction centers containing green chlorophyll pigments.']",one molecule of the pigment chlorophyll absorbs one photon and loses one electron
81,who sings theme tune to orange is the new black,"Regina Spektor sings the theme tune to Orange is the New Black. Source: The theme tune to Orange is the New Black is ""You've Got Time"" by Regina Spektor.","['Regina Spektor sings the theme tune to Orange is the New Black on Netflix.', 'The theme tune to Orange is the New Black is ""You\'ve Got Time"" by Regina Spektor.']",Spektor
82,where no man has gone before episode cast,"Captain James Kirk: William Shatner
Chief Engineer Montgomery Scott: James Doohan
Lt. Sulu: George Takei","['William Shatner as Captain James Kirk, James Doohan as Chief Engineer Montgomery Scott, and George Takei as Lt. Sulu appeared in the ""Where No Man Has Gone Before"" episode of Star Trek.', 'William Shatner played Captain James Kirk, James Doohan played Chief Engineer Montgomery Scott, and George Takei played Lt. Sulu.']",No answer
83,who did the astros play last time they were in the world series,The Astros played against the Los Angeles Dodgers last time they were in the World Series.,"['The Houston Astros are an American professional baseball team based in Houston, Texas, competing in Major League Baseball (MLB) as a member club of the American League (AL) West division. They play their home games at Minute Maid Park since 2000.', 'The Houston Astros last won the World Series in 2017.', 'In 2017, the Houston Astros played against the Los Angeles Dodgers in the World Series.', 'No answer', 'In their most recent World Series appearance, the Astros played against the Los Angeles Dodgers.']",Los Angeles Dodgers
84,where do the royalties for winnie the pooh go,Disney receives royalties from Winnie the Pooh merchandise sales after paying royalties to the Slesinger family. No specific details about the current distribution of royalties are provided in the context.,"['Disney receives royalties from Winnie the Pooh merchandise sales after paying royalties to the Slesinger family.', 'Stephen Slesinger initially owned 66% of the income from Winnie the Pooh merchandise sales. After his death, his wife, Shirley Slesinger Lasswell, continued managing the rights and licensed them to Walt Disney Productions in exchange for royalties. The exact distribution of current royalties is not specified in the provided context.']","Slesinger, Inc."
85,which mode is used for short wave broadcast service,Amplitude modulation is the most commonly used mode for shortwave broadcasting.,"['Amplitude modulation is the most commonly used mode for shortwave broadcasting.', 'Short wave broadcast service refers to radio transmission using shortwave radio frequencies, typically ranging from 1.7–30 MHz, for broadcasting voice and music over large areas, often covering entire continents or beyond. It is also used for various applications such as military, diplomacy, education, emergencies, and long-distance aviation and marine communications. (Source: Shortwave radio - Wikipedia)', ""Characteristics defining short wave broadcast service include:\n- Operating frequencies ranging from 1.7–30 MHz (high frequency band)\n- Originated from divisions of radio spectrum in early 20th century\n- Amateur radio operators' discovery of long-distance communication on shortwave bands\n- Digital Audio Broadcasting format (DRM) operating 10 kHz or 20 kHz channels\n- Power usage varying from under 1 watt to up to 500 kilowatts\n- Specialized antenna designs for concentrated radio energy\n\nSources:\n- No specific citations provided in the task.""]",MFSK
86,what is the significance of the sahara desert,"The Sahara Desert significantly influences global climate patterns by creating a subsiding airflow that warms and dries the atmosphere, leading to a dry climate.","['The Sahara Desert has a geographical extent of approximately 9,200,000 square kilometers, covering Algeria, Chad, Egypt, Libya, Mali, Mauritania, Niger, and Sudan. Its length is about 4,800 km east-west and width about 1,800 km north-south. [1][8]', 'No answer', 'The Sahara Desert influences global climate patterns by creating a subsiding airflow that warms and dries the atmosphere, preventing cloud formation and contributing to a dry climate. [13]']",the largest hot desert and the third largest desert in the world after Antarctica and the Arctic
87,where is most vascular tissue found in plants,"Most vascular tissue in plants is found in the vascular bundles, which include both xylem and phloem. These bundles are arranged in stems and roots, with xylem typically closer to the interior and phloem towards the exterior. (Sources: Vascular tissue - Wikipedia)","['Vascular tissue is found in the vascular bundles of plants, which include both xylem and phloem. It is arranged in stems and roots, where xylem is typically closer to the interior and phloem is towards the exterior. In some Asterales dicots, phloem can be located inwardly from the xylem. (Source: Vascular tissue - Wikipedia)', 'Vascular tissue in plants is a complex conducting tissue composed of xylem and phloem, which transport fluids and nutrients internally. It is arranged in long, discrete strands called vascular bundles. Xylem is typically found closer to the interior of the stem, while phloem is towards the exterior. The arrangement can vary among plant species. (Source: Vascular tissue - Wikipedia)']",No answer
88,who plays the voice of johnny in sing,Seth MacFarlane plays the voice of Johnny in the movie Sing.,"['Seth MacFarlane is the voice actor of Johnny in the movie Sing.', ""Johnny is a character in the movie Sing who is portrayed by Matthew McConaughey. No answer found regarding Johnny's specific personality traits within the provided context.""]",Taron Egerton
89,when will the flash season 4 episode 17 come out,No answer,"['The airdate of The Flash Season 4 Episode 17 is not provided in the given context.', 'No answer']","April 10, 2018"
90,who was the killer in the movie i know what you did last summer,"The killer in the movie ""I Know What You Did Last Summer"" is Missy Egan, played by Anne Heche.","['Julie James, played by Jennifer Love Hewitt, is the main character in the movie I Know What You Did Last Summer.', 'The suspects in the movie ""I Know What You Did Last Summer"" are the four main friends: Julie James (Jennifer Love Hewitt), Helen Shivers (Sarah Michelle Gellar), Barry Cox (Ryan Phillippe), and Ray Bronson (Freddie Prinze Jr.).', 'The killer in the movie I Know What You Did Last Summer is ultimately revealed to be Missy Egan, played by Anne Heche.']",Ben Willis
91,when was the last time the world series went less than 7 games,No answer,"['The longest World Series game in history lasted 5 hours and 41 minutes, occurring in Game 3 of the 2005 World Series between the Astros and the Chicago White Sox.', 'Typically, a World Series consists of 7 games.']",No answer
92,which is the lion's mane jellyfish's species within its genus,Cyanea capillata,"['Genus: Cyanea', ""The species within the genus Cyanea, which includes the lion's mane jellyfish (Cyanea capillata), are various jellyfish species. However, the specific species mentioned in the context is Cyanea capillata. No other species within this genus are explicitly named in the provided context.""]",C. capillata
93,who starred in the movie natural born killers,"Woody Harrelson starred as Mickey Knox, and Robert Downey, Jr. starred as Wayne Gale in the movie Natural Born Killers.","['Woody Harrelson starred in the movie Natural Born Killers as Mickey Knox.', 'Robert Downey, Jr. starred in the movie Natural Born Killers as Wayne Gale.', 'No answer']",Woody Harrelson
94,what is the largest magnitude earthquake that has occurred in the pacific northwest,The largest magnitude earthquake in the Pacific Northwest was the 1700 Cascadia earthquake with an estimated moment magnitude of 8.7–9.2.,"['Magnitude in the context of earthquakes refers to the measure of the size or strength of an earthquake, typically expressed using the Moment Magnitude Scale. No answer', 'The 1700 Cascadia earthquake had the largest magnitude in the Pacific Northwest with an estimated moment magnitude of 8.7–9.2.']",The 1700 Cascadia earthquake
95,what is the longest pier in the uk,"Southend Pier, extending 1.34 miles (2.16 km) into the Thames Estuary, is the longest pier in the UK.","['The longest pier in the UK is Southend Pier, extending 1.34 miles (2.16 km) into the Thames Estuary.', 'The longest pier in the UK is Southend Pier, extending 1.34 miles (2.16 km) into the Thames Estuary.']",Southend Pier
96,what is the share of agriculture in indian economy,The share of agriculture in Indian economy is approximately 13.7% of the GDP. [141][142],"['Agriculture in India includes crops, horticulture, milk and animal husbandry, aquaculture, fishing, sericulture, aviculture, forestry and related activities. It accounts for approximately 13.7% of the GDP and employs around 50% of the workforce. Despite its decreasing share in GDP due to broader economic growth, agriculture remains crucial for socio-economic development and employment. [141][142]', ""In 2013, agriculture and allied sectors contributed 13.7% to India's GDP. By 2016, this contribution had increased slightly to 17%, but it continues to decline as the economy diversifies.""]",17.32%
97,when did they stop making pull tabs on beer cans,No answer,"['Pull tabs first appeared on beer cans in 1959 when Ermal Cleon Fraze invented the integral rivet and pull-tab version.', 'No answer']",1970s
98,swan lake the sleeping beauty and the nutcracker are three famous ballets by,"Swan Lake, The Sleeping Beauty, and The Nutcracker are three famous ballets by Pyotr Ilyich Tchaikovsky.","['The famous ballets by Pyotr Ilyich Tchaikovsky include Swan Lake, Sleeping Beauty, and The Nutcracker.', 'No answer', ""The Sleeping Beauty is a ballet in a prologue and three acts, composed by Pyotr Ilyich Tchaikovsky, with a scenario by Ivan Vsevolozhsky based on Charles Perrault's La Belle au bois dormant. It premiered in 1890 and is known for its long duration, often lasting nearly four hours including intermissions. The instrumentation includes strings: Violins I, Violins II, Violas, Cellos, Double Basses. The original choreography was by Marius Petipa. Characters include Flora, Fauna, and Merryweather; Maleficent; and Prince Charming."", 'No answer']",Pyotr Ilyich Tchaikovsky
99,who sings too much time on my hands lyrics,"Tommy Shaw sings the song ""Too Much Time on My Hands.""","['Tommy Shaw sings the song ""Too Much Time on My Hands.""', 'No answer']",Tommy Shaw
100,what is the most common blood type in sweden,"The most common blood type in Sweden is O+, accounting for about 40% of the population.","['The most common blood types in Sweden are O+ at 40%, A+ at 30%, B+ at 10%, AB+ at 5%, O− at 8%, A− at 6%, B− at 2%, and AB− at less than 1%.', 'In Sweden, the distribution of blood types is approximately:\n- O+: 40-45%\n- A+: 30-35%\n- B+: 8-12%\n- AB+: 2-4%\n- O-: 6-8%\n- A-: 3-5%\n- B-: 1-2%\n- AB-: Less than 1%\n\nSources: \n- ""Frequency of major blood groups in the Swedish population"" (Geblod.nu, archived 2010-11-19)']",AB+
101,who sang a whiter shade of pale first,"Procol Harum sang ""A Whiter Shade of Pale"" first.","['The artist that performed ""A Whiter Shade of Pale"" is Procol Harum.', '""A Whiter Shade of Pale"" was first performed and released on 12 May 1967.']",Procol Harum
102,in a microsoft access table what does a row of information represent,"A row in a Microsoft Access table represents a single, structured data item containing related data for a specific entity or instance.","['A row in a Microsoft Access table represents a single, structured data item, containing related data for a specific entity or instance. Each row has the same structure as other rows in the table. For example, in a table about companies, each row could represent a single company with associated details such as name, address, and other attributes.']","a single, implicitly structured data item in a table"
103,when did toyota first come to the united states,Toyota first came to the United States in 1957 with the introduction of the Crown model.,"['Toyota first established its presence in the United States in 1937 when it was founded as an independent company.', ""Toyota's initial products introduced in the United States were the Crown in 1957. No answer regarding specific models before this date."", ""Toyota's entry into the U.S. market in 1957 with the Crown faced initial challenges due to naming issues. The name was later changed to avoid negative connotations. By the early 1960s, stiff import tariffs were imposed, prompting Toyota and other Japanese automakers to establish manufacturing plants in the U.S. This strategy helped reduce costs and increase accessibility to the American market.""]",1957
104,where is the tv show the curse of oak island filmed,"The TV show The Curse of Oak Island was filmed in Mendocino, California and various locations in Canada including Prince Edward Island and Southern Ontario, specifically Millbrook and Caledon.","['Mendocino, California was used to film parts of the TV show The Curse of Oak Island.', 'The filming locations in Canada included Prince Edward Island and Southern Ontario, specifically Millbrook and Caledon.']",Oak Island
105,when is the state of the union televised,"The State of the Union address is typically held each January and televised by ABC, CBS, NBC, and CNN.","['Typically, the State of the Union address is held each January before a joint session of the United States Congress.', 'ABC, CBS, NBC, and CNN typically televise the State of the Union address.']","in the evening, after 9pm ET (UTC-5)"
106,what do the films mean in high castle,No answer,"['Themes in The Man in the High Castle include:\n- Alternate History: Exploring what might happen if the Axis powers won World War II.\n- Totalitarian Rule: Showing daily life under oppressive regimes.\n- Intrigue and Conspiracy: Investigating intrigues among the victorious Axis powers.\n\nSources:\n- [1] Retrieved from ""https://en.wikipedia.org/w/index.php?title=The_Man_in_the_High_Castle&oldid=835816521""', 'The film conveys messages about family, childhood, and divorce, as well as an alternative history where Germany and Japan are the victors of World War II. It also explores themes related to totalitarian rule and the impact of historical events on society.', 'No answer']",The Grasshopper Lies Heavy is a series of newsreel films depicting multiple alternative realities
107,who invented the cornell method of note taking,Walter Pauk invented the Cornell Method of note taking in the 1940s. [1],['Walter Pauk invented the Cornell Method of note taking in the 1940s. Source: [1]'],Walter Pauk
108,my first love was a castle in the sky,No answer,"['No answer', 'First love influences perceptions of romance and fantasy by adding emotional depth and personal significance to these concepts. In literature, particularly in fantasy novels like Eragon, first love often serves as a central theme, enhancing the narrative with romantic elements and emotional complexity. For instance, the character Eragon experiences first love, which contributes to his development and motivates him throughout his quest. This reflects how first love can shape perceptions of romance and fantasy by blending adventure with personal feelings and relationships.']",No answer
109,name a food you might eat on thanksgiving,Roasted turkey is a common food eaten on Thanksgiving. (Source: [1]),"['A traditional Thanksgiving dish includes roasted turkey, mashed potatoes, stuffing, cranberry sauce, and brussels sprouts. Winter squash and sweet potatoes are also commonly served. Non-traditional alternatives include ham, goose, duck, quail, and Dungeness crab. Venison may be used in certain regions. (Sources: [1], [2])', 'Commonly associated Thanksgiving foods include:\n- Roasted turkey\n- Mashed potatoes\n- Stuffing/dressing\n- Cranberry sauce\n- Winter squash and sweet potatoes\n- Green beans (especially green bean casserole)\n- Corn\n- Fresh salad (on the West Coast)\n- Bread rolls/biscuits/cornbread\n- Pumpkin pie, apple pie, mincemeat pie, sweet potato pie, and pecan pie\n\nAdditionally, historically significant foods from the first Thanksgiving include:\n- Waterfowl\n- Venison\n- Lobster\n- Clams\n- Berries\n- Fruit\n- Pumpkin\n- Squash']",turkey
110,what is the use of adobe flash cs3 professional,"Adobe Flash CS3 Professional was used for developing web applications, Rich Internet Applications (RIAs), animations, and interactive content. It supported ActionScript 3.0 programming language and allowed the creation of interactive and animated content, video games, and hardware-accelerated 3D content for product demos and virtual tours. Companies like Nike, HP, Nokia, GE, WWF, HBO, Cartoon Network, and Disney utilized it for their websites and interactive portals. Developers could also use Adobe Flash Builder, FlashDevelop, Flash Catalyst, or other tools with the Apache Flex SDK.","['Adobe Flash CS3 Professional introduced the following features:\n- ActionScript 3.0 programming language\n- Support for modern programming practices\n- Development of business applications with Flash\n- Integration with Adobe Flex Builder for enterprise application development\n- Flex SDK including charting, advanced UI, and data services\n\nSource: Context provided by the user.', 'Adobe Flash CS3 Professional was used for developing web applications and Rich Internet Applications (RIAs) using ActionScript 3.0 programming language. It allowed the creation of interactive and animated content, including video games, and supported hardware-accelerated 3D content for product demos and virtual tours. Tools like Adobe Animate and third-party IDEs facilitated game and application development. Notable users included companies like Nike, HP, Nokia, GE, WWF, HBO, Cartoon Network, and Disney.', 'Adobe Flash CS3 Professional is used for producing animations, rich Internet applications, desktop applications, mobile applications, mobile games, and embedded web browser video players. It supports text, vector graphics, raster graphics, audio and video streaming, and capturing mouse, keyboard, microphone, and camera inputs. Artists use Adobe Animate while developers use Adobe Flash Builder, FlashDevelop, Flash Catalyst, or text editors with the Apache Flex SDK. It was widely used by businesses like Nike, Hewlett-Packard, Nokia, General Electric, World Wildlife Fund, HBO, Cartoon Network, and Disney for their websites and interactive portals. Hardware-accelerated 3D (Stage3D) enabled the creation of 3D content for product demos and virtual tours. Developers can build web applications and rich internet applications (RIAs) using ActionScript 3.0 and related tools like Adobe Flash Builder, third-party IDEs such as FlashDevelop and Powerflasher FDT, and Flex frameworks like PureMVC.']",supported modern programming practices and enabled business applications to be developed with Flash
111,who has the rights to alice in wonderland,No answer,"['Lewis Carroll created Alice in Wonderland.', 'No answer']",No answer
