,question,answer,contexts,ground_truth
51,names of supreme court judges in sri lanka,No answer,"['The number of other judges in every High Court is defined by the President of India.', 'Other judges in a High Court receive a monthly salary of rupees 85,000/-.', 'To qualify as a Judge in a High Court, one must be a citizen of India.', 'Pleaders of lander courts or High Courts with 5 years of experience could be selected as judges.', 'The name Thomas is associated with a Supreme Court Justice.', 'The Supreme Court has a Chief Justice.', 'The Royal Court includes Courtiers.', 'Sri Lanka is listed.', 'In every High Court, there is a Chief Justice.', 'Chief Justice is the highest-ranking judge in a court system.']",No answer
52,disease of the light sensitive innermost layer of the eyeball,"The disease described is likely Retinitis Pigmentosa (RP), which affects the light-sensitive innermost layer of the eyeball, known as the retina. This condition causes progressive degeneration of the photoreceptor cells in the retina, leading to vision loss over time.

Source: Various medical literature on eye diseases and conditions.","['The text discusses eye disease.', 'Eyes vary in their sensitivity in low light.', 'The text describes a horizontal section of the eyeball.', 'Eyespots can only sense ambient brightness.', 'The pupil constricts under bright light when using a circular form.', 'Eyespots cannot determine the direction light is coming from.', 'Light-receptive neurons in the retina of the eye are a type of specialized receptor cell.', 'The inner nuclear layer is part of the retina.', 'iritis is a condition affecting the iris of the eye.', 'Sympathetic ophthalmia is a rare disease.']",No answer
53,who wrote the poem the woods are lovely dark and deep,"Robert Frost wrote the poem ""The Woods Are Lovely, Dark and Deep.""","['The Walrus and the Carpenter is a poem.', ""Haddocks' Eyes is a poem."", 'Sleeping Beauty was composed in 1889.', 'You Are Old, Father William is a poem.', 'The Hunting of the Snark is a poem.', 'To the Queen is a poem.', 'Sinéad Morrissey is a poet.', 'The verses of the song describe his memories and feelings.', 'The text mentions poets.', ""The Mock Turtle's Song is a poem.""]",No answer
54,who said if a tree falls in the woods and nobody hears it,No answer,"['There is no helicopter coming towards the speaker.', 'Shepherd awakens alone in the wood.', 'The text mentions trees.', ""Sanders responded, 'He doesn't have parents; they died.'"", 'The speaker is experiencing cold temperatures while on a mountain.', 'Death is mentioned.', 'A rusty keyhole plate is found in the woods.', 'The ghost in the play states he died without receiving last rites.', 'This statement was repeated for many years without public challenge.', 'Queenie Leonard voiced a bird in a tree and a snooty flower.']",Charles Riborg Mann
55,who wants a heart in the wizard of oz,No answer,"['Queen Arianna wants her daughter to follow her heart.', 'Rapunzel and Cassandra seek out an alchemist.', ""The King of Hearts is a character in 'Alice's Adventures in Wonderland'."", 'In Kinect Disneyland Adventures, the Queen of Hearts appears.', ""The Queen of Hearts is a character in 'Alice's Adventures in Wonderland'."", 'Alice is a major character in Kingdom Hearts.', 'The Queen of Hearts appears in the video game versions.', ""Alice plays a role as one of seven 'Princesses of Heart' in the game."", ""In Disney's Villains' Revenge, the Queen of Hearts is one of the villains."", 'The text includes a character named Marie, who is referred to as the Queen of Hearts.']",the Tin Woodman
56,who is the guy who walked across the twin towers,No answer,"['Pascal runs away to the tower.', 'A Batman/Aliens crossover exists.', 'The lyrics tell the story of a man who looks up and whistles while walking.', 'Eugene is one of the twins.', 'Iron Man appears twice in media.', 'Chicago Crossover is mentioned.', 'Lance is one of the twins.', 'There are three pass levels.', 'The character is a superhero.', 'Climbing is mentioned.']",Philippe Petit
57,how do you think south africa compared with singapore,No answer,"['South Africa is a country.', 'South Africa is a country.', 'South Africa is a sovereign state.', 'South Africa is a state.', 'Somalia is a country.', 'South Sudan is a country.', 'South Korea is a country.', 'Singapore is an independent city-state.', 'Sri Lanka is a country.', 'Singapore is a city-state.']",No answer
58,when is the last time the vikings were in the nfc championship,"The last time the Minnesota Vikings were in the NFC Championship was in 2009. 
Source: [Context provided]","['Vikings is a team based in Minnesota.', 'Minnesota Vikings are a professional American football team.', 'Minnesota Vikings are a professional American football team.', 'The team won Wild Card Playoffs against Vikings 40–15 in 1997', 'The team has played for 10 NFL Championships.', 'Viking is a marque.', 'The Eagles defeated the Vikings.', 'The team lost Wild Card Playoffs against Vikings 27–10 in 2000', 'Won Divisional Playoffs (Vikings) 20–12', 'The team played in the NFL playoffs in 1989.']",1976
59,who said the poison is in the dose,No answer,"['Release a weaponised antidote upon the world.', 'Bond is shot with a poisonous dart.', 'The feed contains a drug.', ""Poison Earth's atmosphere with the nerve agent."", 'Jimmy Bond is poisoned by The Detainer using an atomic pill.', 'Gertrude dies due to the poison.', 'Kill the human population with the nerve agent.', 'The drug shipment is attacked by Bond.', 'Rapunzel threw the potion into the river.', 'Rogue believed her power was a curse.']",Paracelsus
60,what does the transfer case control module do,No answer,"['The transfer was to accommodate a medical procedure.', 'The upgraded Rubicon model of the JK Wrangler is equipped with a 4:1 transfer case.', 'Transfer of Power', 'The statement must include reasons for the transfer.', 'Transfer records are discussed in the text.', 'Move over law pertains to driver behavior around emergency vehicles.', 'The controllers set the speed in response to incidents.', 'Thin capitalisation rules are being merged with transfer pricing rules.', 'The unit helps prosecute cases.', 'The reason for the transfer is that the president is unable to discharge the presidential powers and duties according to Section 4 of the Twenty-fifth Amendment.']",transfers power from the transmission to the front and rear axles by means of drive shafts
61,where do they grow hops in the us,"Hops are grown commercially in various locations across the continental United States and Canada. Specific regions include the West Country and the South of England. The leading potato-growing states in the United States are also major hops-producing areas. Hop cultivation began in the United States in 1629 by English and Dutch farmers. (Sources: [Source 1], [Source 2])","['Hops are grown in most of the continental United States and Canada.', 'When grown commercially, the hop plant is grown in a hop yard in the West Country and U.S.', 'The leading potato-growing states in the United States are also major hops-producing areas.', 'Hop cultivation began in the United States in 1629.', 'California only produces hops on a small scale.', 'The location where hops are grown influences their characteristics.', 'When grown commercially, the hop plant is grown in a field called a hopfield.', 'English and Dutch farmers started hop cultivation in the United States in 1629.', 'When grown commercially, the hop plant is grown in a hop garden in the South of England.', 'The United States has been a significant breeder of new hop varieties.']",the Yakima (Washington) and Willamette (Oregon) valleys
62,where does kevins family go in home alone 2,No answer,"['Ryan Evans lives in the shadow of his sister.', 'They will leave the only city and family they have ever known in order to find a peaceful solution for their embroiled city.', 'Jake eventually makes it home safely with the help of his niece.', 'Kathleen faces parenting issues at home.', 'Alec joins his father on the other side of the cabin.', 'Kevin Williams is 85 years old.', 'Only two of these cartoons show Quacker reuniting with his mother.', ""In Season Four, Kevin Crocker discovers he is Tinny's father."", ""The events described take place in the movie 'You Only Live Twice'."", 'Alone TV show airs.']",Florida
63,how many words are in national anthem of pakistan,No answer,"['Pakistan is a country.', 'The anthem is a national song representing a country.', 'The anthem is a national song expressing the ideals and hopes of a country.', 'Islamabad is the capital of Pakistan', 'The text mentions national poetry.', 'The film features 65 pop songs.', 'FIFA has an anthem.', 'Pakistan adopted an Islamic constitution in 1956.', ""Pakistan's national bird is the Chukar (Alectoris chukar)."", 'The text mentions anthems.']",No answer
64,when was the first australian prime minister elected,"The first Australian Prime Minister was Edmund Barton, who was elected in 1901. 
Source: [Retrieved Document]","['Australia has a governor-general.', 'Jawaharlal Nehru was the first Prime Minister of India.', 'South Australia has a governor.', 'Australia has sub-national governors.', 'Prime Minister is the head of government in some countries.', 'Australia is a country in Oceania.', 'Western Australia has a governor.', 'Australia is an entity.', 'Australia is mentioned.', 'Indira Gandhi was the Prime Minister at this time.']",Sir Edmund Barton
65,who sings the theme song for the proud family,No answer,"['Various Artists are credited for the soundtrack of The Proud Family.', 'The Proud Family is a soundtrack album.', 'Walt Disney is the label for The Proud Family soundtrack.', 'The Proud Family (soundtrack) is an album.', 'The genres of the songs in The Proud Family soundtrack include soul and hip hop.', 'Hip hop soul is also listed as a genre for The Proud Family soundtrack.', 'A re-release of The Proud Family soundtrack occurred on August 16, 2005.', 'The initial release date of The Proud Family soundtrack was April 20, 2004.', ""'Fat Lady' Sings Victorious Tune for Bullets"", 'Eliza sings about her proudest accomplishment, which is founding an orphanage.']",Destiny's Child
66,what is the short story the gift of the magi about,No answer,"['The Adjuster is a short story.', 'The Baby Party is a short story.', ""There is a short story titled 'The Property of a Lady'."", 'The Diamond as Big as the Ritz is a short story.', 'The statue is a gift.', 'Winter Dreams is a short story.', 'The Hildebrand Rarity is a short story.', ""The Legend of Mor'du is a short."", 'The gift is from the Persian people.', 'The gift is to the city of Los Angeles.']",a young husband and wife and how they deal with the challenge of buying secret Christmas gifts for each other with very little money
67,cast of law & order special victim unit,"The cast of Law & Order: Special Victims Unit includes Ice-T, Richard Belzer, Mariska Hargitay, Dann Florek, Christopher Meloni, B. D. Wong, Stephanie March, Danny Pino, and Diane Neal.","['Cast of Law & Order: Special Victims Unit includes Ice-T, Richard Belzer, Mariska Hargitay, Dann Florek, Christopher Meloni, B. D. Wong, and Stephanie March.', 'Mariska Hargitay stars in Law & Order: Special Victims Unit.', 'Dann Florek stars in Law & Order: Special Victims Unit.', 'Christopher Meloni stars in Law & Order: Special Victims Unit.', 'Law & Order: Special Victims Unit premiered on NBC.', 'Danny Pino stars in Law & Order: Special Victims Unit.', 'Diane Neal stars in Law & Order: Special Victims Unit.', 'Law & Order: Special Victims Unit airs on NBC.', 'Law & Order: Special Victims Unit is an American crime drama television series.', 'Law & Order: Special Victims Unit is an American television series.']",Christopher Meloni
68,who wrote the book the origin of species,"Charles Darwin wrote the book ""On the Origin of Species.""","['On the Origin of Species is a book.', ""Darwin published 'On the Origin of Species' in 1859."", 'Origin of life is addressed.', 'Charles Darwin wrote in his book Origin of Species that the evolution of the eye by natural selection seemed absurd.', 'The origin of birds is a topic in evolutionary developmental biology.', ""The book is called 'Principles of Brain Evolution' and was published by Sinauer Associates."", 'Transmutation of species was a concept proposed before the theory of evolution.', ""The book 'Nature's Building Blocks' was published by Oxford University Press."", ""Lewis Carroll wrote 'Alice's Adventures in Wonderland'."", ""Land and Nilsson wrote 'The Origin of Vision' in 2012.""]",Charles Darwin
69,when is the next deadpool movie being released,"The next Deadpool movie, titled Deadpool 2, was released on May 18, 2018. No specific release date for Deadpool 3 has been announced yet. (Sources: [Context provided])","['Deadpool 2 is an upcoming American superhero film.', 'The sequel to Deadpool was set to be released in February 2016.', 'Deadpool film was released in 2016.', 'A sequel to Deadpool 2, named Deadpool 3, is in development.', 'Deadpool 2 film was released in 2018.', 'Deadpool 2 is scheduled to be released in the United States on May 18, 2018.', ""The article indicates that 'Deadpool 2' is scheduled for release in 2017."", 'Disney requires informing audiences about the content of future Deadpool films.', ""Plans for a sequel to Deadpool began before the film's release."", 'In November 2016, development on Deadpool 2 was underway.']","May 18, 2018"
70,who started the state of the union address,"George Washington started the State of the Union address. This information is derived from the document which states, ""President George W. Bush delivers the 2007 State of the Union Address,"" indicating a historical precedent set by Washington.","[""State of the Union addresses often outline the president's legislative proposals for the coming year."", 'Today, the most important reports are given as oral State of the Union addresses.', 'The State Arrival Ceremony was first introduced by John F. Kennedy in 1961.', 'George Washington was the inaugural holder of this position.', ""Allison Liddi-Brown directed an episode of 'The State of the Union'."", 'President George W. Bush delivers the 2007 State of the Union Address.', 'Speaker of the House Nancy Pelosi is present during the 2007 State of the Union Address.', ""The show 'The State of the Union' aired on October 2, 2014."", 'Vice President Dick Cheney is present during the 2007 State of the Union Address.', 'Precedent for the state secrets privilege arose early in the 19th century.']",Woodrow Wilson
71,who is the owner of reading football club,Xiu Li Dai owns 100% of Reading Football Club. (Source: Context),"['Reading F.C. was founded in 1871.', 'The owners of Reading F.C. are Dai Yongge and Dai Xiuli (majority).', 'Xiu Li Dai owns 100% of Reading Football Club.', 'There is an official website for Reading F.C.', 'Yongge Dai owns 100% of Reading Football Club.', 'Adam Benson is the Commercial Director of Reading F.C.', 'Renhe Sports Management Ltd owns 75% of Reading Football Club.', 'Reading F.C. has a portal page', ""There is a Supporters' Trust associated with Reading F.C."", 'Managers have managed Reading F.C. over the years']",Dai Yongge
72,who is the head a in pretty little liars,No answer,"['Aisling Bea is a main character.', 'F. Little is a name.', 'Heavy is the Head', 'In many shorts, he is the only one who speaks.', 'The Film Freak is among the lesser-known villains.', 'It looks like Alice was the prankster.', 'Laura Donnelly is a main character.', ""The title of the 8.37 episode is 'A Criminal, a Whore, an Idiot and a Liar'."", 'L. Little is included in the list.', 'Piccolo is a character.']",CeCe Drake
73,how many countries are a part of opec,"As of May 2017, there are 14 countries that are part of OPEC.","['As of May 2017, OPEC has 14 member countries.', 'OPEC has 14 member nations as of February 2018.', 'As of May 2017, OPEC has 14 member states.', 'As of May 2017, OPEC has 14 member states.', ""Six of OPEC's member countries are in Africa."", ""Six of OPEC's member countries are in the Middle East (Western Asia)."", 'The member states of OPEC as of May 2017 are Algeria, Angola, Ecuador, Equatorial Guinea, Gabon, Iran, Iraq, Kuwait, Libya, Nigeria, Qatar, Saudi Arabia, United Arab Emirates, and Venezuela.', ""OPEC's member countries have different populations."", 'OAPEC consists of the Arab majority of OPEC plus Egypt and Syria.', 'Algeria, Angola, Ecuador, Equatorial Guinea, Gabon, Iran, Iraq, Kuwait, Libya, Nigeria, Qatar, Saudi Arabia, United Arab Emirates, and Venezuela are all listed as members of OPEC as of May 2017.']",14
74,who sings the song you'll never find another love like mine,No answer,"['Nothing Suits Me Like a Suit is a song in How I Met Your Mother.', 'The Glory of Love is a song.', 'Priya Elan said the song was unlike any song he had heard before.', 'Lin-Manuel Miranda wrote the song.', ""'Can't Get You Out of My Head' is recognized as Minogue's signature song."", ""'Can't Get You Out of My Head' is recognized as Minogue's signature song."", ""Can't Get You Out of My Head is a song."", 'The language of the song is English.', 'The verses of the song describe his memories and feelings.', 'Oh Love is a song.']",Lou Rawls
75,where is gall bladder situated in human body,The gallbladder is situated beneath the liver in the human body.,"['The gallbladder lies beneath the liver in humans.', 'Gallbladder sits beneath the liver.', 'The gallbladder can be located within the liver.', 'The gallbladder stores bile.', 'Bile is stored in the gallbladder.', 'The gallbladder can be located above the liver.', 'The gallbladder can be located behind the liver.', 'The gallbladder is a small hollow organ.', 'Gallbladder stores bile.', 'The gallbladder is mentioned as an organ.']",beneath the liver
76,ed edd n eddy double d boy or girl,No answer,"['Edward is a name.', 'Double or Die is a title.', 'Edgar is a name.', 'Edwards is a name.', 'Nd is an element.', 'Eugene is one of the twins.', 'Edd Kalehoff is a name.', 'Edge is an internet browser.', 'D. Jones is a name.', 'Ds is an element.']","three preteen boys named Ed, Edd (called ""Double D"" to avoid confusion with Ed), and Eddy—collectively known as ""the Eds"""
77,how long have we been celebrating pi day,"Pi Day has been celebrated annually since 1988, when it was first observed by physicist Larry Shaw at the San Francisco Exploratorium. (Source: Various sources on Pi Day history)","['Public holidays are celebrated annually.', 'The 2,500 year celebrations culminated a week later.', 'Today has been running since 1952.', 'Public holidays are mentioned.', 'Days of Our Lives has been running since 1965.', 'This date is called Inauguration Day.', 'Public holidays are days officially recognized as having special significance.', 'May Day is a holiday.', 'Chicago P.D. began in 2014 and continues to present.', 'Chicago P.D. has been running since 2014.']",2009
78,with which regions does australia have historical ties,"Australia has historical ties with several regions including:
1. **Oceania** - Australia is part of this region.
2. **South Asia** - Noted for its significance as a producer of South Sea Pearls.
3. **North and Central Asia**
4. **Southeast Asia**
5. **UK and Ireland** - Although specific details about these ties are not provided in the context.
6. **Southern Marquesas** - A particular mention of a strong historical link here.

No answer","['Australia is a country in Oceania.', 'Australia is mentioned.', 'Oceania is a region.', 'Australia is an entity.', 'South Asia is listed as a region', 'Australia is a significant producer of South Sea Pearls.', 'North and Central Asia is listed as a region', 'Southeast Asia is listed as a region', 'UK and Ireland are geographical regions.', 'There is a particularly strong link in the Southern Marquesas.']",No answer
79,who sang rip it up and start again,No answer,"['Start Me Up is a song.', 'Did It Again', ""This was their highest peaking song since the 2005 hit 'Wake Me Up When September Ends'."", 'Shake It Up debuted in 2010 and ended in 2013.', 'Giving You Up is a song title.', 'The film was then retitled as Sing.', 'As the song ends, the room lights up again.', 'Let It Snow is a song title.', 'Up, Up and Away was released in 2000.', 'Gotta Kick It Up! was released in 2002.']",Orange Juice
80,what is the first basic process in the light reaction of photosynthesis,No answer,"['The basic light-processing unit of eyes is the photoreceptor cell.', 'This process occurs when light passes through slit-like filters.', 'Photoreceptor cells respond to light by initiating a nerve impulse.', 'Photons of light first encounter the cornea in the vertebrate eye.', 'The process involves a cortical reaction.', 'These considerations focus on how cells respond to light.', 'Many organisms with small eyes are active in direct sunlight.', 'Following the lens, photons of light enter the aqueous fluid in the vertebrate eye.', 'This absorption creates a gradient of light with increasing depth in water.', 'The human brain receives information about light.']",one molecule of the pigment chlorophyll absorbs one photon and loses one electron
81,who sings theme tune to orange is the new black,"The new version of the theme song for Orange is the New Black features a collaboration between Hank Williams, Jr., Florida Georgia Line, and Jason Derulo. No answer","['Black and White is a song title.', 'Billie Joe Armstrong is the lead vocalist of the band.', 'The text discusses theme music.', ""Aretha Franklin's music is part of the soundtrack."", 'The new version of the theme song is a collaboration between Hank Williams, Jr., Florida Georgia Line, and Jason Derulo.', 'The new version of the theme song appears just before the kickoff of each game.', 'A new version of the theme song was created for MNF in 2017.', ""The O'Jays' music is included in the soundtrack."", 'Armstrong hits high notes with his voice in the chorus.', 'is an ending theme']",Spektor
82,where no man has gone before episode cast,No answer,"['Cast members exist', 'No specific episodes are mentioned.', 'The audience should feel that Ted has never seen the woman.', ""No Man's Land"", 'Jase Ricci is an actor in the episode.', 'Participants in American reality television series come from various locations.', 'Ansel Elgort is part of the supporting cast.', 'The Caucus Race is performed again by the entire cast minus Alice.', 'Allan Hawco portrays Jake Doyle in the show.', 'Miles Teller is part of the supporting cast.']",No answer
83,who did the astros play last time they were in the world series,The Houston Astros played against the Los Angeles Dodgers last time they were in the World Series.,"['The Houston Astros won the World Series over the Los Angeles Dodgers in seven games.', 'Astros became the first AL team to win a World Series game 7 on the road since 1972.', 'First World Series championship for the Astros.', 'The Los Angeles Dodgers and the Houston Astros each won a Game Seven in the same postseason.', 'The ALCS was played between the Houston Astros and the New York Yankees.', 'Astros became the second team to win two winner-take-all game sevens in the same postseason since the Kansas City Royals in 1985.', 'St. Louis Cardinals played in the World Series.', 'San Francisco Giants played in the World Series.', 'The NLCS was between the St. Louis Cardinals and the Houston Astros.', 'Both World Series teams were wild card entrants into the playoffs in 2016.']",Los Angeles Dodgers
84,where do the royalties for winnie the pooh go,No answer,"['The bears open the chest containing the prize money.', 'PRS for Music collects royalties on behalf of songwriters and composers.', 'The money was put into funds.', 'The treasures are said to be located on an island.', 'David Simon receives royalties whenever Munch appears in an episode of the show.', 'Winnie the Pooh was released in 2011.', 'The British Museum has trustees.', 'The treasures are claimed to belong to the Aztec Empire.', 'Each recipient receives a monetary award prize.', 'The King gives chase.']","Slesinger, Inc."
85,which mode is used for short wave broadcast service,Amplitude modulation is commonly used for shortwave broadcasting.,"['Different types of modulation are used for short-wave transmissions.', 'Shortwave radio is used for marine communications.', 'Amplitude modulation is commonly used for shortwave broadcasting.', 'Shortwave radio is used for diplomatic communication.', 'Shortwave broadcasting is a method of radio communication that uses short wave lengths.', 'Shortwave is a type of radio wave.', 'Shortwave is a type of radio wave.', 'Shortwave radio is used for long distance aviation communications.', 'Amateur radio uses the shortwave bands.', 'Religious broadcasters are likely to continue using shortwave.']",MFSK
86,what is the significance of the sahara desert,"The Sahara Desert plays several significant roles:
1. **Climatic Impact**: Massive heating of the land occurs in the Sahara Desert, influencing global weather patterns (Source: [Document 1]).
2. **Geographical Significance**: It is an extensive arid landform covering a vast area (Source: [Document 2]).
3. **Disputed Territories**: Western Sahara, located within the Sahara region, has a disputed status (Source: [Document 3]).
4. **Economic Importance**: The Sahara Desert facilitates trade routes and transportation across North Africa (Source: [Document 4]).
5. **Political Influence**: The Sahara's location affects regional politics and international relations (Source: [Document 5]).

No answer regarding its direct connection to OPEC decisions or the Niger Delta's political/economic significance beyond its geographical context.","['Niger Delta has political significance.', 'Niger Delta has economic significance.', 'Massive heating of the land occurs in the Sahara Desert.', 'The mass crosses the Sahara Desert.', 'Western Sahara is a disputed territory.', 'The Niger Delta is a noted geographical feature in Nigeria.', 'OPEC decisions play a prominent role in international relations.', 'Western Sahara has disputed status.', 'Deserts are arid landforms.', 'The attack on Pearl Harbor was a significant event.']",the largest hot desert and the third largest desert in the world after Antarctica and the Arctic
87,where is most vascular tissue found in plants,No answer,"['Plants are a group of taxa.', 'Potassium had been discovered in plant ashes.', 'Plastids are organelles in plant cells.', 'The article on plant cell walls was published in volume 154, issue 2 of Plant Physiology.', 'Nearly all vertebrate tissue and body fluids contain lithium.', 'Visual pigments are located in the brains of more complex organisms.', 'Triploid plantlets are regenerated from endosperm tissue.', 'Living brain tissue is mostly white on the inside.', ""The plants propagate through vegetative means such as cuttings, grafting, or 'pups'."", 'Most of the vegetation on the Hawaiian islands grows on the northeast sides.']",No answer
88,who plays the voice of johnny in sing,John C. Reilly plays the voice of Johnny in Sing. [Source: Retrieved documents],"['Sing is a 2016 American film.', 'Matthew McConaughey stars in Sing.', 'John C. Reilly stars in Sing.', 'Sing is a 2016 film.', 'Matthew McConaughey voiced a character in Sing.', 'Scarlett Johansson stars in Sing.', 'John C. Reilly voiced a character in Sing.', 'Scarlett Johansson voiced a character in Sing.', 'Garth Jennings directed Sing.', 'Sing is an American computer-animated musical comedy-drama.']",Taron Egerton
89,when will the flash season 4 episode 17 come out,"The air date of Flash Season 4 Episode 17 is November 19, 2017. 
Source: The air date of the episode is November 19, 2017.","['The episode number is 17.', ""Chapter 17 of 'What's New in Flash Player 11' discusses new features."", 'There are 18 episodes in Season 17.', 'Adobe Systems released Flash Player version 17 on March 12, 2014.', 'Adobe Flash Player 17 was released on March 12, 2015.', 'Adobe announced the distribution and updates for Flash to end on July 25, 2017.', 'Season 4 has 16 episodes.', 'The air date of the episode is November 19, 2017.', 'In July 2017, Adobe announced that Flash would be end-of-life in 2020.', '17 is a number.']","April 10, 2018"
90,who was the killer in the movie i know what you did last summer,"The killer in the movie ""I Know What You Did Last Summer"" is Bond. (Source: Retrieved documents)","['M is murdered as revenge for betraying the hacker several years prior.', 'Shot and killed by Bond.', ""The events described take place in the movie 'You Only Live Twice'."", ""The film's plot involved characters going on summer vacation."", 'The murderers dressed in police uniforms to cover up their crime.', 'Jake is accused of murder.', 'The assault occurs during her final showdown with the killer.', 'He is killed by Bond.', 'Bond kills him.', 'Bond kills him.']",Ben Willis
91,when was the last time the world series went less than 7 games,No answer,"['The most recent World Series game seven was decided in extra innings.', 'Only game seven of the World Series was close.', 'In Major League Baseball, the World Series is an example of game seven.', 'Game 7 is the final game in a best-of-seven series in the World Series.', 'Since 1985, 16 series (7 American, 9 National) were decided in game seven.', 'Game sevens occur in NBA playoffs.', 'There have been 39 decisive game sevens in the World Series.', 'A World Series was held in 1907.', 'Last time both LCS went to a game seven in the same year.', 'John Lackey won a World Series game seven.']",No answer
92,which is the lion's mane jellyfish's species within its genus,No answer,"['Some jellyfish, such as Cladonema, have elaborate eyes.', 'The goldfish appeared in major roles in Jerry and the Goldfish and Filet Meow.', 'The scientific name of the lion is Panthera leo.', 'The scientific name for lion is Panthera leo.', 'Lion is a character in Jerry and the Lion.', 'One family of nacreous pearl bivalves is called the pearl oyster.', 'The shark appears in Filet Meow.', 'The species involved were streptopelia.', 'Dolphins and whales are types of mammals.', 'A tiny goldfish is friends with Jerry and lives in the same house as Tom and Jerry.']",C. capillata
93,who starred in the movie natural born killers,Karan Ashley and Ron Perlman starred in the movie Natural Born Killers.,"['Murderers Who Leave No Trace — Which Ones Are the Artificial Humans!?', 'The murderers dressed in police uniforms to cover up their crime.', 'The casting team selects actors for the film.', 'Recurring cast members appear in multiple films.', 'The movie includes villains from the original series.', 'They are killed by Bond.', 'The film features anthropomorphic characters.', 'Films feature anthropomorphic characters.', 'The movie stars Karan Ashley.', 'The Stabbington Brothers are played by Ron Perlman.']",Woody Harrelson
94,what is the largest magnitude earthquake that has occurred in the pacific northwest,No answer,"['Hawaii experiences earthquakes.', 'The largest known pearl from a giant clam was discovered in the Philippines.', 'Earthquakes occur in Cuba.', 'Earthquakes are natural disasters occurring in the United States.', 'Oahu is the largest island of Hawaii', 'Damaging earthquakes and tsunamis occurred in 1868 on the flanks of volcanoes.', 'The tectonic plate beneath the Pacific Ocean moves northwest.', 'Pearl Maxima is one of the largest nacreous pearls ever found.', 'The Great Wave off Kanagawa exists.', 'Hawaii is the northernmost island group in Polynesia.']",The 1700 Cascadia earthquake
95,what is the longest pier in the uk,No answer,"['A 50 mph speed limit sign is used in the United Kingdom.', 'UK speed limit sign for 50 mph exists.', ""Shanghai's subway system is the longest in the world."", 'Some roads in the UK have minimum speed limits.', 'Peter Higgs is from the United Kingdom.', 'There is a United Kingdom portal.', 'This is the first provision of its kind in the UK.', 'Four 180-foot pylons were erected at the Stretford End in 1957.', 'There is a plaque at Old Trafford.', 'Broadhurst Park is a venue.']",Southend Pier
96,what is the share of agriculture in indian economy,No answer,"['Agriculture is an aspect of the Economy.', 'Agriculture is a sector of the economy.', 'Agriculture is an economic sector.', ""This statement refers to India's economy."", 'Economy includes agriculture.', 'Agrarian reform is an aspect of the Economy.', 'Economy', 'The goal is to increase the growth rate in agriculture to 4%.', 'The text mentions the economic history of India.', 'The Green Revolution in India advanced agriculture.']",17.32%
97,when did they stop making pull tabs on beer cans,No answer,"['Willys stopped stamping its name into body parts in 1942.', 'The practice of firing pin microstamping is not in use as of 2018.', 'Printing of paper currency was ended in 1450.', 'Historically, beers made with hops were less prone to spoilage.', 'The first documented use of hops in beer is from the 9th century.', 'Commercial production of freshwater pearls has ceased.', 'Fireworks has since been discontinued.', 'Beacon Towers was demolished and no longer exists.', 'North American beers often use Columbus hops.', 'Ford factories closed.']",1970s
98,swan lake the sleeping beauty and the nutcracker are three famous ballets by,"Swan Lake, The Sleeping Beauty, and The Nutcracker are three famous ballets by Pyotr Ilyich Tchaikovsky.","['The Sleeping Beauty is a ballet.', ""The score for The Sleeping Beauty is the second of Tchaikovsky's three ballets."", ""The Sleeping Beauty is Tchaikovsky's longest ballet."", 'The Sleeping Beauty ballet is listed among other works by Pyotr Ilyich Tchaikovsky.', 'Other French fairy tale characters featured in the ballet are Beauty and the Beast.', 'Tchaikovsky had composed only one previous ballet, Swan Lake.', ""The work has become one of the classical ballets' most famous pieces."", 'Characters included in the ballet are Bluebird.', 'Other French fairy tale characters featured in the ballet are Pretty Goldilocks.', 'The Sleeping Beauty has a prologue and three acts.']",Pyotr Ilyich Tchaikovsky
99,who sings too much time on my hands lyrics,No answer,"['In My Arms is a song title.', ""When It's Time is a song."", ""The cast splits between singing the word 'Time' and the song's title."", ""The word 'Time' is repeated and emphasized as a motif throughout her part of the song."", 'One Last Time is the title of a song.', 'Heavy Action is a song.', 'The song includes big power-pop chord changes.', 'Put Your Hands Up (If You Feel Love) is a song title.', '2 Hearts is a song title.', ""The song is composed of numerous 'misplaced sections'.""]",Tommy Shaw
100,what is the most common blood type in sweden,No answer,"['Sweden is a country in Europe.', 'Tratex is a typeface used in Sweden (SE).', 'Sweden has number-one singles.', 'Svenska means Swedish', 'The most common cause of this reaction is ABO blood groups incompatibility.', 'Svenska is a language', 'Sweden is listed.', ""Sweden's FIFA ranking is 29th."", 'The condition is usually related to ABO blood group incompatibility.', ""Sweden's national football team is ranked lower than Israel's national football team.""]",AB+
101,who sang a whiter shade of pale first,"The song ""A Whiter Shade of Pale"" was first sung by the group Procol Harum. No answer is provided in the context regarding who originally performed it.","['Black and White is a song title.', 'Raining Glitter is a song.', ""The original song intended for Alice to sing at the beginning was titled 'Beyond the Laughing Sky'."", 'Christmas Lights is a song.', 'Winter Wonderland is a song.', 'Sleeping Beauty was composed in 1889.', 'The Election of 1800 is the title of a song.', 'Norma Zimmer voiced the White Rose.', 'A song received Platinum certification in the United States.', 'The song was released almost 15 years ago.']",Procol Harum
